sample_id,timestamp_utc,trigger_reason,timestamp,distanceFromHome,speedInMetersPerSecond30s,speedInMetersPerSecond2m,speedInMetersPerSecond10m,distanceDelta2m,distanceDelta10m,rollingSpeedStd10m,zoneOneHotHome,zoneOneHotNotHome,zoneOneHotWork,zoneOneHotGym,cameFromWork,cameFromGym,movingTowardHome,accelerationMetersPerSecondSquared,etaToHomeSeconds,isWeekend,hourOfDaySin,hourOfDayCos,dayOfWeekSin,dayOfWeekCos,speedHistoryPointCount,speedInMetersPerSecond,hasEventNow,minutesUntilNextEventStart,minutesUntilCurrentEventEnd,currentEventDurationMinutes,nextEventDurationMinutes,busyMinutesNext60m,busyMinutesNext120m,freeBlockMinutesBeforeNextEvent,eventCountNext2h,hasBackToBackEventsNext2h,calendarBusyRatioNext2h,hasAllDayEventToday,isWorkHoursCalendarBusy
3517d8ea-49b3-44bc-bdef-89bd7a40c483,2026-02-18T19:09:19.309Z,startup,1771441759195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,831,111,120,480,60,111,831,1,0,0.925,0,0
c44a47a8-42ae-4f21-b418-197d5ebe4112,2026-02-18T19:09:33.337Z,startup,1771441773240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,830,110,120,480,60,110,830,1,0,0.9166666666666666,0,0
85a310b5-57d6-4680-9763-2e50a9a209a8,2026-02-18T19:26:25.259Z,startup,1771442785144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,814,94,120,480,60,94,0,1,0,0.7833333333333333,0,0
df0b109f-5401-4504-8d87-8a3bf40a9b42,2026-02-18T19:27:22.422Z,startup,1771442842313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,813,93,120,480,60,93,0,1,0,0.775,0,0
b5733fb0-7ef0-45d9-bd40-ad327497dee7,2026-02-18T19:28:01.404Z,startup,1771442881261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,812,92,120,480,60,92,0,1,0,0.7666666666666667,0,0
79c02d01-3885-4a17-9a44-caed34ded0bd,2026-02-18T19:30:04.866Z,startup,1771443004680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,810,90,120,480,60,90,0,1,0,0.75,0,0
d643c019-6861-411f-8544-45498d57528c,2026-02-18T19:33:58.463Z,startup,1771443238332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,806,86,120,480,60,86,0,1,0,0.7166666666666667,0,0
f91c0ab8-6307-4a48-b266-c97317d34ef5,2026-02-18T19:35:38.857Z,startup,1771443338754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,804,84,120,480,60,84,0,1,0,0.7,0,0
c9c5379e-37ec-49c3-ba9c-807ab9ddaded,2026-02-18T19:39:55.496Z,startup,1771443595399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,800,80,120,480,60,80,0,1,0,0.6666666666666666,0,0
022a83b6-6b20-4f86-9900-7971e92e5768,2026-02-18T19:41:09.787Z,startup,1771443669670,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,799,79,120,480,60,79,0,1,0,0.6583333333333333,0,0
872820ed-7f52-46fa-adfa-08d1affa37c6,2026-02-18T19:46:09.807Z,heartbeat,1771443969703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,794,74,120,480,60,74,0,1,0,0.6166666666666667,0,0
4d595925-8ed5-4275-a125-da931e2f768f,2026-02-18T19:49:54.022Z,startup,1771444193943,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,790,70,120,480,60,70,0,1,0,0.5833333333333334,0,0
ef4a6958-93ff-4058-8d1b-66feacbc76e1,2026-02-18T19:54:54.043Z,heartbeat,1771444493939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,785,65,120,480,60,65,0,1,0,0.5416666666666666,0,0
80464709-787e-48a7-8f82-ab7f9c0d665d,2026-02-18T19:55:31.274Z,startup,1771444531175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,784,64,120,480,60,64,0,1,0,0.5333333333333333,0,0
c28043e2-efd6-413a-861a-5a1f0a33a6fd,2026-02-18T19:58:03.273Z,startup,1771444683166,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0,0,1,782,62,120,480,60,62,0,1,0,0.5166666666666667,0,0
29f9da1b-f551-4e5d-b921-e08cb3aab957,2026-02-18T20:01:21.934Z,startup,1771444881825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,779,59,120,480,59,59,0,1,0,0.49166666666666664,0,0
c5cd4eff-ba02-47e0-bc5b-c83e363f708d,2026-02-18T20:04:23.648Z,person.ben,1771445063527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,776,56,120,480,56,56,0,1,0,0.4666666666666667,0,0
3319b8cf-7407-434e-bf17-06a01a776eba,2026-02-18T20:10:20.977Z,person.ben,1771445420826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,770,50,120,480,50,50,0,1,0,0.4166666666666667,0,0
49fd0a11-d06f-4f76-b6c8-ad9333ee5789,2026-02-18T20:10:20.978Z,sensor.home_proximity_ben_direction_of_travel,1771445420827,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,770,50,120,480,50,50,0,1,0,0.4166666666666667,0,0
9fa60678-e7d1-4edc-9dfd-14d9ce19cc04,2026-02-18T20:12:59.537Z,person.ben,1771445579378,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,767,47,120,480,47,47,0,1,0,0.39166666666666666,0,0
44ea855b-510b-45d5-9679-c6cd25ba1807,2026-02-18T20:16:01.689Z,startup,1771445761597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,764,44,120,480,44,44,0,1,0,0.36666666666666664,0,0
523ff8bb-d7cf-42b5-bb23-5e5289f9e65b,2026-02-18T20:16:20.027Z,startup,1771445779928,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,764,44,120,480,44,44,0,1,0,0.36666666666666664,0,0
42bf786b-01ac-48a7-a5f9-2c4a7f4cc9b3,2026-02-18T20:18:47.143Z,sensor.home_proximity_ben_direction_of_travel,1771445927005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,761,41,120,480,41,41,0,1,0,0.3416666666666667,0,0
857598a5-dd72-42d7-831d-467fc6dbbab4,2026-02-18T20:18:47.327Z,person.ben,1771445927004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,761,41,120,480,41,41,0,1,0,0.3416666666666667,0,0
3c7463d4-ab06-42f4-a852-1b9bb132a0b7,2026-02-18T20:44:14.577Z,startup,1771447454440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,736,16,120,480,16,16,0,1,0,0.13333333333333333,0,0
71f19280-0ee9-455c-ba1b-06f2b4e0fc6d,2026-02-18T20:46:53.335Z,startup,1771447613159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,733,13,120,480,13,13,0,1,0,0.10833333333333334,0,0
4b5aed56-840c-4ad3-9883-f00344171300,2026-02-18T20:47:49.948Z,startup,1771447669775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,732,12,120,480,12,12,0,1,0,0.1,0,0
7164671f-b040-40ec-a5d9-716ae288e857,2026-02-18T20:48:45.876Z,startup,1771447725781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,731,11,120,480,11,11,0,1,0,0.09166666666666666,0,0
768874d7-9f8e-411d-8a76-0871eaf78353,2026-02-18T20:50:24.650Z,startup,1771447824561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0,0,1,730,10,120,480,10,10,0,1,0,0.08333333333333333,0,0
9022d0c3-83ea-43b4-a0b0-f853fa35805e,2026-02-18T21:09:28.386Z,startup,1771448968263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0,0,0,711,0,0,480,0,0,711,0,0,0,0,0
